Actual_index,Actual,Predicted_index,Predicted,images
17709,17.60265,0,0.5503601569131487,0.jpg
17710,17.60265,1,0.8380975261448462,1.jpg
17711,17.60265,2,0.5786831147446136,2.jpg
17712,17.60265,3,0.8893326000613175,3.jpg
17713,17.60265,4,0.588428227310736,4.jpg
17714,17.60265,5,0.6132938438469644,5.jpg
17715,17.60265,6,0.829150979188201,6.jpg
17716,17.60265,7,0.7579256437298127,7.jpg
17717,17.60265,8,0.8456428516699095,8.jpg
17718,17.60265,9,0.7061494856386972,9.jpg
17719,17.56563,10,0.5408296122093859,10.jpg
17720,17.56563,11,0.5371856901642698,11.jpg
17721,17.56563,12,0.5620736963904829,12.jpg
17722,17.56563,13,0.7154794560363413,13.jpg
17723,17.56563,14,0.8264810086574492,14.jpg
17724,17.56563,15,0.640834095432691,15.jpg
17725,17.56563,16,0.6219474590263001,16.jpg
17726,17.56563,17,0.6888711752962546,17.jpg
17727,17.56563,18,0.9189355018369447,18.jpg
17728,17.56563,19,0.8027498030804789,19.jpg
17729,17.56563,20,0.5990997133000029,20.jpg
17730,17.56563,21,0.7233223778574587,21.jpg
17731,17.56563,22,0.5829558139168167,22.jpg
17732,17.56563,23,0.7668647274564631,23.jpg
17733,17.56563,24,0.763450299733698,24.jpg
17734,17.56563,25,1.0400226768927023,25.jpg
17735,17.56563,26,0.6423743195229328,26.jpg
17736,17.56563,27,0.5588178623051139,27.jpg
17737,17.56563,28,0.7719042735106658,28.jpg
17738,17.56563,29,0.6847057600552304,29.jpg
17739,17.56563,30,0.4950762807243283,30.jpg
17740,17.56563,31,0.46220261840334054,31.jpg
17741,17.56563,32,0.4551666583254459,32.jpg
17742,17.56563,33,0.6362675315794295,33.jpg
17743,17.56563,34,0.6680842139523584,34.jpg
17744,17.56563,35,0.631028344122857,35.jpg
17745,17.56563,36,0.6426756474339861,36.jpg
17746,17.56563,37,0.7943070241485053,37.jpg
17747,17.56563,38,0.5485633842918247,38.jpg
17748,17.56563,39,0.5609038350887481,39.jpg
17749,17.56563,40,0.24026295061608316,40.jpg
17750,17.56563,41,0.23178752005287961,41.jpg
17751,17.56563,42,0.28748094098768284,42.jpg
17752,17.75604,43,0.23785419313515987,43.jpg
17753,17.75604,44,0.2954535364299655,44.jpg
17754,17.75604,45,0.3092679751509255,45.jpg
17755,17.75604,46,0.3070066164624041,46.jpg
17756,17.75604,47,0.3836054775172766,47.jpg
17757,17.75604,48,0.3462967907716923,48.jpg
17758,17.75604,49,0.3158878601565931,49.jpg
17759,17.75604,50,0.3207706783808977,50.jpg
17760,17.75604,51,0.32352740896034327,51.jpg
17761,17.75604,52,0.3418589676358472,52.jpg
17762,17.75604,53,0.35621915505019963,53.jpg
17763,17.75604,54,0.3323340203545797,54.jpg
17764,17.75604,55,0.32943735421272535,55.jpg
17765,17.75604,56,0.3285949421270278,56.jpg
17766,17.75604,57,0.3315345218413537,57.jpg
17767,17.75604,58,0.2903095051558324,58.jpg
17768,17.75604,59,0.27966600627904725,59.jpg
17769,17.75604,60,0.2567361650228026,60.jpg
17770,17.75604,61,0.2575011460973027,61.jpg
17771,17.75604,62,0.42207469652710117,62.jpg
17772,17.75604,63,0.4202769910020283,63.jpg
17773,17.75604,64,0.3368520732128726,64.jpg
17774,17.75604,65,0.4013026616431947,65.jpg
17775,17.75604,66,0.3076036748620137,66.jpg
17776,17.75604,67,0.32928808961282385,67.jpg
17777,17.75604,68,0.32870409186570626,68.jpg
17778,17.75604,69,0.3753567425651756,69.jpg
17779,17.75604,70,0.44186904828164764,70.jpg
17780,17.75604,71,0.39356142633076097,71.jpg
17781,17.75604,72,0.4073012327517702,72.jpg
17782,17.75604,73,0.5030311509953727,73.jpg
17783,17.75604,74,0.5804621621946993,74.jpg
17784,17.75604,75,0.47029649133304474,75.jpg
17785,17.81534,76,0.43513628192230414,76.jpg
17786,17.81534,77,0.5115047157510766,77.jpg
17787,17.81534,78,0.6096032766143793,78.jpg
17788,17.81534,79,0.654972251754689,79.jpg
17789,17.81534,80,0.48003973809166745,80.jpg
17790,17.81534,81,0.4894825898429893,81.jpg
17791,17.81534,82,0.5624263340077533,82.jpg
17792,17.81534,83,0.633860639906004,83.jpg
17793,17.81534,84,0.6777929432722534,84.jpg
17794,17.81534,85,0.5539555679632961,85.jpg
17795,17.81534,86,0.4774369366308715,86.jpg
17796,17.81534,87,0.4603666638245425,87.jpg
17797,17.81534,88,0.5140431468531652,88.jpg
17798,17.81534,89,0.701264801606893,89.jpg
17799,17.81534,90,0.6213354741667008,90.jpg
17800,17.81534,91,0.599527916120973,91.jpg
17801,17.81534,92,0.5223431915114833,92.jpg
17802,17.81534,93,0.9509760811097276,93.jpg
17803,17.81534,94,0.9625384901796608,94.jpg
17804,17.81534,95,0.8950904820025496,95.jpg
17805,17.81534,96,0.9593265025705122,96.jpg
17806,17.81534,97,1.0798352773016493,97.jpg
17807,17.81534,98,1.2916044284130628,98.jpg
17808,17.81534,99,1.60927774605892,99.jpg
17809,17.81534,100,1.4426312834979775,100.jpg
17810,17.81534,101,0.6412343111411793,101.jpg
17811,17.81534,102,1.0173745725687748,102.jpg
17812,17.81534,103,0.9101671394964335,103.jpg
17813,17.81534,104,0.8281686315400947,104.jpg
17814,17.81534,105,1.0825015162174045,105.jpg
17815,17.81534,106,1.2386453483677204,106.jpg
17816,17.81534,107,1.3590981488738922,107.jpg
17817,17.81534,108,1.3053013212615987,108.jpg
17818,17.81534,109,1.1268834791908588,109.jpg
17819,17.81619,110,1.3061595927110368,110.jpg
17820,17.81619,111,1.0949240625442735,111.jpg
17821,17.81619,112,1.915463286934794,112.jpg
17822,17.81619,113,1.761954907876504,113.jpg
17823,17.81619,114,1.169494790847975,114.jpg
17824,17.81619,115,1.8753950708985165,115.jpg
17825,17.81619,116,1.5809911714736806,116.jpg
17826,17.81619,117,2.1632285292164024,117.jpg
17827,17.81619,118,1.8898700054740445,118.jpg
17828,17.81619,119,2.051776384084338,119.jpg
17829,17.81619,120,3.1183671065688383,120.jpg
17830,17.81619,121,2.9909828312047013,121.jpg
17831,17.81619,122,3.5744208360728855,122.jpg
17832,17.81619,123,3.1645579699123587,123.jpg
17833,17.81619,124,3.465960513265115,124.jpg
17834,17.81619,125,4.234092936629931,125.jpg
17835,17.81619,126,3.0430659146293673,126.jpg
17836,17.81619,127,4.091177679645959,127.jpg
17837,17.81619,128,3.7235455004127953,128.jpg
17838,17.81619,129,3.340640753898377,129.jpg
17839,17.81619,130,4.598560706345166,130.jpg
17840,17.81619,131,4.048231455542814,131.jpg
17841,17.81619,132,4.823066792346994,132.jpg
17842,17.81619,133,4.6959371997064405,133.jpg
17843,17.81619,134,4.118599452455513,134.jpg
17844,17.81619,135,5.060873287103869,135.jpg
17845,17.81619,136,4.326532503349437,136.jpg
17846,17.81619,137,5.717479399488545,137.jpg
17847,17.81619,138,7.2030465248613575,138.jpg
17848,17.81619,139,7.0705811892261705,139.jpg
17849,17.81619,140,8.046404108510071,140.jpg
17850,17.81619,141,8.535266197072648,141.jpg
17851,17.81619,142,11.008179935293692,142.jpg
17852,17.9225,143,15.468011903169142,143.jpg
17853,17.9225,144,12.25539913189608,144.jpg
17854,17.9225,145,15.703173849022434,145.jpg
17855,17.9225,146,17.08580530759136,146.jpg
17856,17.9225,147,20.738746199703925,147.jpg
17857,17.9225,148,19.88220295446133,148.jpg
17858,17.9225,149,19.318625537513903,149.jpg
17859,17.9225,150,19.552677094679485,150.jpg
17860,17.9225,151,19.934834585290638,151.jpg
17861,17.9225,152,20.49874551532848,152.jpg
17862,17.9225,153,21.69474864592829,153.jpg
17863,17.9225,154,20.68014911584914,154.jpg
17864,17.9225,155,19.606738866956604,155.jpg
17865,17.9225,156,21.105843358636807,156.jpg
17866,17.9225,157,21.17041289229517,157.jpg
17867,17.9225,158,21.59446149286892,158.jpg
17868,17.9225,159,20.1045535663502,159.jpg
17869,17.9225,160,20.46157443188593,160.jpg
17870,17.9225,161,21.197349088703174,161.jpg
17871,17.9225,162,20.376900355976343,162.jpg
17872,17.9225,163,20.82392031202318,163.jpg
17873,17.9225,164,19.49701259376091,164.jpg
17874,17.9225,165,18.349443493570032,165.jpg
17875,17.9225,166,18.168986790355,166.jpg
17876,17.9225,167,19.8504786295596,167.jpg
17877,17.9225,168,19.647543144051152,168.jpg
17878,17.9225,169,20.006242303432035,169.jpg
17879,17.9225,170,18.259306333304018,170.jpg
17880,17.9225,171,17.979058781824293,171.jpg
17881,17.9225,172,17.80545425664853,172.jpg
17882,17.9225,173,18.390540235990013,173.jpg
17883,17.9225,174,19.93109504061121,174.jpg
17884,17.9225,175,19.373705574233483,175.jpg
17885,17.98708,176,19.449490943218887,176.jpg
17886,17.98708,177,19.717352331617967,177.jpg
17887,17.98708,178,18.983319406100836,178.jpg
17888,17.98708,179,19.11791502744775,179.jpg
17889,17.98708,180,17.18153382647934,180.jpg
17890,17.98708,181,18.95280225865081,181.jpg
17891,17.98708,182,19.55316500334041,182.jpg
17892,17.98708,183,19.649892195692114,183.jpg
17893,17.98708,184,19.50164819249163,184.jpg
17894,17.98708,185,18.962016548983524,185.jpg
17895,17.98708,186,19.171969336494875,186.jpg
17896,17.98708,187,19.738726555872105,187.jpg
17897,17.98708,188,20.411395871465643,188.jpg
17898,17.98708,189,19.33721084600924,189.jpg
17899,17.98708,190,19.01024813927884,190.jpg
17900,17.98708,191,18.586895951354013,191.jpg
17901,17.98708,192,19.65653960135839,192.jpg
17902,17.98708,193,19.85117457575664,193.jpg
17903,17.98708,194,20.481721421257745,194.jpg
17904,17.98708,195,19.769583746738782,195.jpg
17905,17.98708,196,19.29004603115136,196.jpg
17906,17.98708,197,20.173212483594014,197.jpg
17907,17.98708,198,20.579973911239698,198.jpg
17908,17.98708,199,21.0469482120341,199.jpg
17909,17.98708,200,19.62005420217164,200.jpg
17910,17.98708,201,20.00626982409264,201.jpg
17911,17.98708,202,20.55376491330435,202.jpg
17912,17.98708,203,20.40254401423956,203.jpg
17913,17.98708,204,20.655726162142,204.jpg
17914,17.98708,205,20.568850899835727,205.jpg
17915,17.98708,206,20.90972040275828,206.jpg
17916,17.98708,207,19.95217213502117,207.jpg
17917,17.98708,208,20.130238738830265,208.jpg
17918,17.98708,209,18.81572511333051,209.jpg
17919,18.10115,210,21.547506581354646,210.jpg
17920,18.10115,211,20.367089940147764,211.jpg
17921,18.10115,212,20.43031376014764,212.jpg
17922,18.10115,213,20.493204067057107,213.jpg
17923,18.10115,214,19.321867844494903,214.jpg
17924,18.10115,215,22.12942302020758,215.jpg
17925,18.10115,216,20.029984237402125,216.jpg
17926,18.10115,217,20.76491788148929,217.jpg
17927,18.10115,218,20.34435227706389,218.jpg
17928,18.10115,219,20.591492940285285,219.jpg
17929,18.10115,220,21.68012444675286,220.jpg
17930,18.10115,221,21.199881922382765,221.jpg
17931,18.10115,222,20.173602903813137,222.jpg
17932,18.10115,223,19.632582166622196,223.jpg
17933,18.10115,224,20.3027065207874,224.jpg
17934,18.10115,225,21.79534925464745,225.jpg
17935,18.10115,226,21.099676864853343,226.jpg
17936,18.10115,227,19.964343730239456,227.jpg
17937,18.10115,228,19.566022749266374,228.jpg
17938,18.10115,229,19.36695834786602,229.jpg
17939,18.10115,230,8.840522099362257,230.jpg
17940,18.10115,231,20.58299278777272,231.jpg
17941,18.10115,232,20.95325995364604,232.jpg
17942,18.10115,233,19.749757676256763,233.jpg
17943,18.10115,234,19.594644236297647,234.jpg
17944,18.10115,235,3.781851984749638,235.jpg
17945,18.10115,236,20.494418707738813,236.jpg
17946,18.10115,237,21.516519250414927,237.jpg
17947,18.10115,238,19.26515569266577,238.jpg
17948,18.10115,239,19.082351803617275,239.jpg
17949,18.10115,240,5.760924727097614,240.jpg
17950,18.10115,241,19.38050037869216,241.jpg
17951,18.10115,242,20.272215961094226,242.jpg
17952,18.22528,243,19.37789244626074,243.jpg
17953,18.22528,244,19.46479616213137,244.jpg
17954,18.22528,245,4.605358775966968,245.jpg
17955,18.22528,246,20.222229578846317,246.jpg
17956,18.22528,247,19.49293580437608,247.jpg
17957,18.22528,248,19.81484637085166,248.jpg
17958,18.22528,249,19.921680175972377,249.jpg
17959,18.22528,250,18.69059380052115,250.jpg
17960,18.22528,251,20.288470409571715,251.jpg
17961,18.22528,252,19.481835182662092,252.jpg
17962,18.22528,253,19.83773329853544,253.jpg
17963,18.22528,254,20.771692162065484,254.jpg
17964,18.22528,255,17.5277414046559,255.jpg
17965,18.22528,256,20.59152465901276,256.jpg
17966,18.22528,257,19.949625774237205,257.jpg
17967,18.22528,258,20.05744379281353,258.jpg
17968,18.22528,259,21.06871332295923,259.jpg
17969,18.22528,260,20.592193551001078,260.jpg
17970,18.22528,261,20.617534481997616,261.jpg
17971,18.22528,262,21.0422109267947,262.jpg
17972,18.22528,263,20.27347118308903,263.jpg
17973,18.22528,264,20.18053484512297,264.jpg
17974,18.22528,265,20.02030162938721,265.jpg
17975,18.22528,266,20.43723404016061,266.jpg
17976,18.22528,267,20.68556228985497,267.jpg
17977,18.22528,268,19.90477829229281,268.jpg
17978,18.22528,269,20.34137538119959,269.jpg
17979,18.22528,270,20.27045883688225,270.jpg
17980,18.22528,271,19.67240689477988,271.jpg
17981,18.22528,272,20.6556855808289,272.jpg
17982,18.22528,273,20.13375345370609,273.jpg
17983,18.22528,274,20.143646431516487,274.jpg
17984,18.22528,275,12.395961139172217,275.jpg
17985,18.33235,276,19.327496519266845,276.jpg
17986,18.33235,277,20.0572156978468,277.jpg
17987,18.33235,278,20.89191080373056,278.jpg
17988,18.33235,279,19.165097567476877,279.jpg
17989,18.33235,280,9.488744205751171,280.jpg
17990,18.33235,281,19.367415937155094,281.jpg
17991,18.33235,282,20.126202064306657,282.jpg
17992,18.33235,283,20.736479710044776,283.jpg
17993,18.33235,284,19.073595569025507,284.jpg
17994,18.33235,285,6.809391461990849,285.jpg
17995,18.33235,286,20.43378229628787,286.jpg
17996,18.33235,287,20.295260083059773,287.jpg
17997,18.33235,288,20.8154738014762,288.jpg
17998,18.33235,289,20.164805621456395,289.jpg
17999,18.33235,290,14.696698744470782,290.jpg
18000,18.33235,291,20.53735047183384,291.jpg
18001,18.33235,292,20.76296951200869,292.jpg
18002,18.33235,293,20.677356002023465,293.jpg
